artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
The Charlatans,Appetite,,BMG,5,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Rosie Lowe,In My Head,,Blue Flowers,6,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Gossip,Standing In The Way Of Control,,Back Yard Recordings,7,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Jessie Ware,If You're Never Gonna Move,,PMR Records,8,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
The The,This is the day,,EPIC,9,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Björk,Alarm Call (Radio Mix),Homogenic,One Little Indian,10,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
KRS-One,Step Into a World (Rapture's Delight),,Jive,11,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Beats International,Dub Be Good To Me,,Go Beat,12,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
The Cribs,Never The Same,,Play It Again Sam,13,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
The Breeders,Divine Hammer,,4 A.D.,14,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
SBTRKTRoses Gabor,PharaohsRoses Gabor,,Young Turks,15,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Nia Archives,Baianá,,Island,16,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Kariya,Let Me Love You For Tonight,,Sleeping Bag Records,17,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Yazoo,Don't Go,Only Yazoo: The Best Of,Mute Records,18,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Breach,Jack,,Dirtybird,19,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Roni SizeRoni Size / Reprazent,Who Told You,,TALKIN LOUD,20,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Sudan Archives,A BUG'S LIFE,,Stones Throw,21,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Cat Power,White Mustang,,Domino,22,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Father John Misty,The Old Law,,Sub Pop,23,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
ROSALÍA,SAKURA,MOTOMAMI,Columbia,24,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
SAULT,Good Things Will Come After The Pressure,,Forever Living Originals,25,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
KAVARI,IRON VEINS,,,26,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Santigold,Lights Out,CD SINGLE,Atlantic,27,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Mount PalomarPip Blom,Little FracturesPip Blom,,Nice Swan Electronic,28,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Glass Candy,Beatific,,John Padgett,29,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Labi Siffre,I Got The,,STATESIDE,30,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Smerz,You got time and I got money,,Escho,31,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Aaliyah,Try Again,Try Again,Virgin,32,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
NasDJ Premier,My Life is Real,,Mass Appeal,33,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Coach Party,Girls!,,Chess Club,34,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Joshua Burnside,Something Else,,Nettwerk Music,35,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Arlo Parks,2SIDED,,Transgressive Records,36,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Beck,Up All Night,,Virgin / EMI,37,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
The Von Bondies,C'Mon C'Mon,,Sire/Reprise,38,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
The Strokes,Reptilia,,Rough Trade Records,0,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
GorillazBizarrapAnoushka ShankarKara Jackson,Orange CountyBizarrapAnoushka ShankarKara Jackson,,Kong,1,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
Patti Jo,Make Me Believe In You,,Wand,2,Nick Grimshaw,Amy Lamé chats about 6 Music's Superfans!,2026-01-19T07:00:00+00:00
